,yyyy_mm_dd,mm_dd,patient_county,mem_cnt
0,2020-03-24,03-24,Hampden,9
1,2020-03-24,03-24,Norfolk,19
2,2020-03-24,03-24,Plymouth,10
3,2020-03-24,03-24,Essex,13
4,2020-03-24,03-24,Worcester,15
5,2020-03-24,03-24,Bristol,20
6,2020-03-24,03-24,Suffolk,8
7,2020-03-24,03-24,Hampshire,4
8,2020-03-24,03-24,Middlesex,23
9,2020-03-24,03-24,Berkshire,1
10,2020-03-24,03-24,Franklin,3
11,2020-03-23,03-23,Franklin,2
12,2020-03-23,03-23,Berkshire,1
13,2020-03-23,03-23,Worcester,10
14,2020-03-23,03-23,Barnstable,1
15,2020-03-23,03-23,Suffolk,6
16,2020-03-23,03-23,Hampden,6
17,2020-03-23,03-23,Hampshire,3
18,2020-03-23,03-23,Plymouth,8
19,2020-03-23,03-23,Middlesex,23
20,2020-03-23,03-23,Essex,8
21,2020-03-23,03-23,Bristol,15
22,2020-03-23,03-23,Norfolk,11
23,2020-03-22,03-22,Hampden,15
24,2020-03-22,03-22,Worcester,17
25,2020-03-22,03-22,Franklin,3
26,2020-03-22,03-22,Essex,7
27,2020-03-22,03-22,Hampshire,4
28,2020-03-22,03-22,Bristol,17
29,2020-03-22,03-22,Norfolk,17
30,2020-03-22,03-22,Berkshire,1
31,2020-03-22,03-22,Suffolk,8
32,2020-03-22,03-22,Plymouth,9
33,2020-03-22,03-22,Middlesex,21
34,2020-03-21,03-21,Plymouth,9
35,2020-03-21,03-21,Hampshire,4
36,2020-03-21,03-21,Middlesex,31
37,2020-03-21,03-21,Worcester,29
38,2020-03-21,03-21,Norfolk,19
39,2020-03-21,03-21,Essex,12
40,2020-03-21,03-21,Hampden,4
41,2020-03-21,03-21,Bristol,17
42,2020-03-21,03-21,Franklin,4
43,2020-03-21,03-21,Suffolk,13
44,2020-03-20,03-20,Essex,9
45,2020-03-20,03-20,Middlesex,28
46,2020-03-20,03-20,Norfolk,13
47,2020-03-20,03-20,Bristol,18
48,2020-03-20,03-20,Berkshire,1
49,2020-03-20,03-20,Suffolk,9
50,2020-03-20,03-20,Hampden,12
51,2020-03-20,03-20,Worcester,25
52,2020-03-20,03-20,Franklin,7
53,2020-03-20,03-20,Hampshire,5
54,2020-03-20,03-20,Barnstable,2
55,2020-03-20,03-20,Plymouth,7
56,2020-03-19,03-19,Hampshire,1
57,2020-03-19,03-19,Plymouth,14
58,2020-03-19,03-19,Suffolk,5
59,2020-03-19,03-19,Essex,12
60,2020-03-19,03-19,Norfolk,16
61,2020-03-19,03-19,Bristol,21
62,2020-03-19,03-19,Middlesex,31
63,2020-03-19,03-19,Hampden,16
64,2020-03-19,03-19,Franklin,5
65,2020-03-19,03-19,Worcester,36
66,2020-03-18,03-18,Worcester,31
67,2020-03-18,03-18,Franklin,3
68,2020-03-18,03-18,Hampshire,2
69,2020-03-18,03-18,Bristol,27
70,2020-03-18,03-18,Plymouth,8
71,2020-03-18,03-18,Norfolk,9
72,2020-03-18,03-18,Middlesex,22
73,2020-03-18,03-18,Hampden,9
74,2020-03-18,03-18,Essex,13
75,2020-03-18,03-18,Suffolk,9
76,2020-03-17,03-17,Worcester,23
77,2020-03-17,03-17,Plymouth,18
78,2020-03-17,03-17,Norfolk,28
79,2020-03-17,03-17,Hampden,13
80,2020-03-17,03-17,Suffolk,14
81,2020-03-17,03-17,Hampshire,3
82,2020-03-17,03-17,Middlesex,39
83,2020-03-17,03-17,Franklin,4
84,2020-03-17,03-17,Barnstable,1
85,2020-03-17,03-17,Essex,29
86,2020-03-17,03-17,Bristol,23
87,2020-03-16,03-16,Hampshire,3
88,2020-03-16,03-16,Bristol,16
89,2020-03-16,03-16,Essex,18
90,2020-03-16,03-16,Worcester,16
91,2020-03-16,03-16,Franklin,4
92,2020-03-16,03-16,Middlesex,28
93,2020-03-16,03-16,Hampden,11
94,2020-03-16,03-16,Suffolk,11
95,2020-03-16,03-16,Norfolk,18
96,2020-03-16,03-16,Plymouth,7
97,2020-03-15,03-15,Bristol,12
98,2020-03-15,03-15,Franklin,4
99,2020-03-15,03-15,Plymouth,11
100,2020-03-15,03-15,Norfolk,29
101,2020-03-15,03-15,Middlesex,42
102,2020-03-15,03-15,Suffolk,19
103,2020-03-15,03-15,Worcester,26
104,2020-03-15,03-15,Hampden,15
105,2020-03-15,03-15,,1
106,2020-03-15,03-15,Essex,22
107,2020-03-15,03-15,Hampshire,2
108,2020-03-14,03-14,Hampden,13
109,2020-03-14,03-14,Middlesex,54
110,2020-03-14,03-14,Worcester,45
111,2020-03-14,03-14,Plymouth,19
112,2020-03-14,03-14,Hampshire,7
113,2020-03-14,03-14,Franklin,6
114,2020-03-14,03-14,Barnstable,1
115,2020-03-14,03-14,Bristol,26
116,2020-03-14,03-14,Essex,28
117,2020-03-14,03-14,Norfolk,29
118,2020-03-14,03-14,Suffolk,22
119,2020-03-13,03-13,Hampden,13
120,2020-03-13,03-13,Plymouth,21
121,2020-03-13,03-13,Worcester,29
122,2020-03-13,03-13,Dukes,1
123,2020-03-13,03-13,Barnstable,1
124,2020-03-13,03-13,Franklin,4
125,2020-03-13,03-13,Middlesex,41
126,2020-03-13,03-13,Norfolk,28
127,2020-03-13,03-13,Essex,20
128,2020-03-13,03-13,Suffolk,14
129,2020-03-13,03-13,Hampshire,2
130,2020-03-13,03-13,,1
131,2020-03-13,03-13,Bristol,22
132,2020-03-12,03-12,Norfolk,37
133,2020-03-12,03-12,Middlesex,46
134,2020-03-12,03-12,Suffolk,19
135,2020-03-12,03-12,Hampshire,7
136,2020-03-12,03-12,Hampden,27
137,2020-03-12,03-12,Barnstable,1
138,2020-03-12,03-12,Franklin,1
139,2020-03-12,03-12,Berkshire,2
140,2020-03-12,03-12,Essex,20
141,2020-03-12,03-12,Plymouth,18
142,2020-03-12,03-12,Worcester,35
143,2020-03-12,03-12,Bristol,26
144,2020-03-11,03-11,Hampden,13
145,2020-03-11,03-11,Norfolk,30
146,2020-03-11,03-11,Essex,24
147,2020-03-11,03-11,Barnstable,1
148,2020-03-11,03-11,Suffolk,20
149,2020-03-11,03-11,Hampshire,5
150,2020-03-11,03-11,Bristol,24
151,2020-03-11,03-11,Franklin,3
152,2020-03-11,03-11,Plymouth,16
153,2020-03-11,03-11,Middlesex,51
154,2020-03-11,03-11,Worcester,33
155,2020-03-10,03-10,Plymouth,18
156,2020-03-10,03-10,Franklin,3
157,2020-03-10,03-10,Essex,22
158,2020-03-10,03-10,Norfolk,26
159,2020-03-10,03-10,Hampden,15
160,2020-03-10,03-10,Suffolk,22
161,2020-03-10,03-10,Middlesex,57
162,2020-03-10,03-10,Worcester,30
163,2020-03-10,03-10,Hampshire,4
164,2020-03-10,03-10,Bristol,32
165,2020-03-10,03-10,Barnstable,1
166,2020-03-09,03-09,Franklin,2
167,2020-03-09,03-09,Essex,15
168,2020-03-09,03-09,Nantucket,1
169,2020-03-09,03-09,Middlesex,39
170,2020-03-09,03-09,Worcester,15
171,2020-03-09,03-09,Norfolk,27
172,2020-03-09,03-09,Hampden,6
173,2020-03-09,03-09,Suffolk,11
174,2020-03-09,03-09,Bristol,21
175,2020-03-09,03-09,Hampshire,6
176,2020-03-09,03-09,Plymouth,18
177,2020-03-08,03-08,Bristol,24
178,2020-03-08,03-08,Suffolk,13
179,2020-03-08,03-08,Barnstable,2
180,2020-03-08,03-08,Franklin,3
181,2020-03-08,03-08,Plymouth,11
182,2020-03-08,03-08,Worcester,29
183,2020-03-08,03-08,Norfolk,26
184,2020-03-08,03-08,Hampden,13
185,2020-03-08,03-08,Middlesex,49
186,2020-03-08,03-08,Hampshire,4
187,2020-03-08,03-08,Essex,25
188,2020-03-07,03-07,Bristol,28
189,2020-03-07,03-07,Barnstable,3
190,2020-03-07,03-07,Hampshire,9
191,2020-03-07,03-07,Hampden,20
192,2020-03-07,03-07,Suffolk,18
193,2020-03-07,03-07,Plymouth,30
194,2020-03-07,03-07,Franklin,5
195,2020-03-07,03-07,Norfolk,46
196,2020-03-07,03-07,Middlesex,83
197,2020-03-07,03-07,Worcester,30
198,2020-03-07,03-07,Essex,34
199,2020-03-06,03-06,Middlesex,41
200,2020-03-06,03-06,Plymouth,22
201,2020-03-06,03-06,Essex,14
202,2020-03-06,03-06,Norfolk,33
203,2020-03-06,03-06,Bristol,26
204,2020-03-06,03-06,Barnstable,1
205,2020-03-06,03-06,Hampden,21
206,2020-03-06,03-06,Franklin,4
207,2020-03-06,03-06,Worcester,31
208,2020-03-06,03-06,Hampshire,6
209,2020-03-06,03-06,Suffolk,18
210,2020-03-05,03-05,Hampshire,10
211,2020-03-05,03-05,Worcester,34
212,2020-03-05,03-05,Bristol,41
213,2020-03-05,03-05,,1
214,2020-03-05,03-05,Plymouth,32
215,2020-03-05,03-05,Suffolk,18
216,2020-03-05,03-05,Essex,25
217,2020-03-05,03-05,Franklin,4
218,2020-03-05,03-05,Norfolk,36
219,2020-03-05,03-05,Middlesex,60
220,2020-03-05,03-05,Hampden,20
221,2020-03-05,03-05,Berkshire,1
222,2020-03-04,03-04,Franklin,5
223,2020-03-04,03-04,Middlesex,51
224,2020-03-04,03-04,Bristol,32
225,2020-03-04,03-04,Norfolk,36
226,2020-03-04,03-04,Hampden,17
227,2020-03-04,03-04,Suffolk,14
228,2020-03-04,03-04,Worcester,36
229,2020-03-04,03-04,Plymouth,24
230,2020-03-04,03-04,Essex,23
231,2020-03-04,03-04,Hampshire,7
232,2020-03-03,03-03,Plymouth,23
233,2020-03-03,03-03,Worcester,33
234,2020-03-03,03-03,Barnstable,3
235,2020-03-03,03-03,Middlesex,48
236,2020-03-03,03-03,Essex,26
237,2020-03-03,03-03,Suffolk,10
238,2020-03-03,03-03,Hampshire,4
239,2020-03-03,03-03,Hampden,18
240,2020-03-03,03-03,Franklin,4
241,2020-03-03,03-03,Norfolk,24
242,2020-03-03,03-03,Bristol,30
243,2020-03-02,03-02,Bristol,18
244,2020-03-02,03-02,Franklin,3
245,2020-03-02,03-02,Worcester,11
246,2020-03-02,03-02,Hampden,11
247,2020-03-02,03-02,Norfolk,19
248,2020-03-02,03-02,Middlesex,41
249,2020-03-02,03-02,Essex,16
250,2020-03-02,03-02,Hampshire,7
251,2020-03-02,03-02,Suffolk,14
252,2020-03-02,03-02,Plymouth,19
253,2020-03-01,03-01,Nantucket,1
254,2020-03-01,03-01,Norfolk,18
255,2020-03-01,03-01,Franklin,7
256,2020-03-01,03-01,Plymouth,19
257,2020-03-01,03-01,Suffolk,11
258,2020-03-01,03-01,Worcester,26
259,2020-03-01,03-01,Hampshire,1
260,2020-03-01,03-01,Hampden,19
261,2020-03-01,03-01,Middlesex,36
262,2020-03-01,03-01,Essex,17
263,2020-03-01,03-01,Bristol,25
